FIPS,year,median_household_income,poverty_rate,bachelor_plus_rate,unemployment_rate_acs,CO,NO2,PM2_5,PM10,O3,prcCancer_non_skin,prcAsthma,prcCoronaryHeartDisease,prcCOPD,prcSmoking,prcDiabetes,prcLPA,prcObesity,prcStroke
01001,2019,58731.0,0.151851716980445,0.2657157384858297,0.036766438840443,0.2794733413817871,8.327399942982634,8.16627805116706,15.729776058405845,0.0293454914011623,7.4,9.7,7.0,8.4,19.3,12.7,32.8,35.6,3.9
01001,2020,57982.0,0.1521175767021257,0.283174854727945,0.0290725233054194,0.2666301037603381,7.381127671323284,7.71687915957874,15.417429968063772,0.0262276386960771,7.4,10.2,7.9,8.6,19.4,12.9,27.2,35.8,3.8
01001,2021,62660.0,0.1357847378439176,0.2813146867269147,0.0282462532396799,0.2807044403426575,7.619301717415423,8.185458781116063,15.598319696805058,0.0267611028134329,7.2,10.1,6.7,7.6,16.8,12.3,30.0,39.3,3.4
01001,2022,68315.0,0.1137396853716697,0.2955857469891509,0.0276847181828222,0.244862180057487,7.416966061504075,7.811313650129658,15.316583770630103,0.028822474969792,6.8,9.8,7.3,8.3,18.0,12.1,27.2,37.6,3.5
01001,2023,69841.0,0.106843064139892,0.2828267961831874,0.025415589213151,0.2614494932994677,7.36337591187986,9.23650751357675,16.748066269304786,0.031124496165093,8.3,10.0,6.7,7.4,14.5,13.3,27.0,39.8,3.7
01003,2019,58320.0,0.1035407264643303,0.3186245963259039,0.0425506207396518,0.2532452147588581,6.013854809864872,7.5514018691588785,15.955104100252044,0.0299833950617283,8.6,8.8,7.5,8.4,18.9,11.9,28.5,30.0,3.8
01003,2020,61756.0,0.0917367662778268,0.319073301492,0.0391750571525852,0.2608179335155226,5.306726328921358,7.846902654867257,16.66322532874853,0.0282912735042735,8.5,9.5,7.8,8.6,17.5,12.0,24.9,29.7,3.8
01003,2021,64346.0,0.0920490499258173,0.3245028615173759,0.0368582792702171,0.2702563346367474,5.564161877849829,7.268103448275863,17.631007943917155,0.0297015853658536,8.4,9.7,7.4,8.1,14.5,12.6,29.4,37.4,3.5
01003,2022,71039.0,0.1021395057049129,0.3256157871418136,0.0344349517010416,0.2527714940269192,5.500221430232077,7.317391304347826,18.03449759460297,0.030109825203252,8.2,9.1,8.0,8.4,16.1,12.4,24.7,32.9,3.5
01003,2023,75019.0,0.1051469871759567,0.3279763704444496,0.03194281220454,0.2849117097151936,5.485895641556547,7.668363269399707,18.597365559697824,0.0337877229437229,10.2,9.3,7.5,7.5,13.0,13.4,25.4,35.2,3.8
